obsd_cpos,IMU heading,obsd_X_pos,obsd_Y_pos
-0.3797928,-0.5044445,-0.354822,-1.505194e-05
-0.3797928,-0.5044445,-0.354822,-1.505194e-05
-0.3797928,-0.5044445,-0.354822,-1.505194e-05
-0.3797928,-0.5044445,-0.354822,-1.505193e-05
0.5130706,-0.5044445,-0.1159287,-2.710277e-05
0.5185377,-0.5022223,3.933058,-0.0002047042
7.814136,-0.5055556,7.855956,0.0008727003
13.77926,-0.5188889,15.21772,0.007984448
19.23485,-0.51,18.99059,0.01257906
22.2714,-0.4944444,27.27138,0.01756413
32.65537,-0.4822223,31.73878,0.02773614
39.12306,-0.46,40.31244,0.04533461
45.95262,-0.4466667,44.41196,0.05910861
52.33571,-0.4233334,52.27199,0.08430346
57.97553,-0.4133334,56.00439,0.1004035
64.7654,-0.3933334,63.8813,0.1362271
70.49882,-0.3833334,68.02061,0.1573164
76.809,-0.3644445,75.90829,0.2009493
83.06927,-0.3600001,79.90926,0.2255185
88.97288,-0.3344445,86.91057,0.2741123
94.51485,-0.318889,90.71086,0.3019112
99.79751,-0.2822223,98.47217,0.3644038
106.6494,-0.2722223,102.3534,0.3986002
112.8217,-0.238889,109.9282,0.4723905
118.4096,-0.2233334,113.8664,0.5124384
124.7915,-0.1966667,121.6825,0.5944534
130.5712,-0.1822223,125.4809,0.6384348
136.7438,-0.1522223,133.2206,0.7287093
142.4154,-0.1355556,137.185,0.779896
148.4486,-0.108889,144.9247,0.8837322
152.7552,-0.09444454,148.9437,0.9397899
155.0474,-0.06555564,156.6075,1.039651
166.3467,-0.05111121,160.334,1.095942
172.6601,-0.02333343,168.4166,1.224805
177.8771,-0.0100001,172.5358,1.292166
180.6375,0.01555546,180.0791,1.411409
190.5814,0.02888879,184.0806,1.482393
196.4177,0.0499999,192.0981,1.623191
202.798,0.05666656,196.0538,1.697993
208.8142,0.0899999,203.8274,1.844724
213.5955,0.1033332,207.746,1.923172
215.5118,0.1255555,215.3031,2.068718
226.2026,0.1388888,219.4086,2.155584
232.5189,0.1666666,227.0858,2.322124
237.5334,0.1809631,230.823,2.406156
237.554,0.2142964,238.4843,2.578544
250.1798,0.2309633,242.4489,2.673404
256.387,0.2642966,250.4705,2.87066
262.7884,0.2787409,254.7222,2.979474
